hp_rank,country,hp_value,hp_value_n,hp_change,gdp,social_support,life_exp,generosity,perceived_corruption
142,Angola,0.795,0.104166667,0.73,1.125,0.269,0,0.079,0.061
143,Madagascar,0.774,0.101415094,0.262,0.908,0.402,0.221,0.155,0.049
144,Zimbabwe,3.692,0.483752621,0.357,1.094,0.248,0.406,0.132,0.099
145,Afghanistan,0.632,0.082809224,0.332,0.537,0.255,0.085,0.191,0.036
146,Botswana,0.59,0.07730608,1.017,1.174,0.417,0.557,0.042,0.092
147,Malawi,0.587,0.076912998,0.186,0.541,0.306,0.531,0.21,0.08
148,Haiti,0.582,0.076257862,0.315,0.714,0.289,0.025,0.392,0.104
149,Liberia,0.495,0.064858491,0.076,0.858,0.267,0.419,0.206,0.03
150,Syria,0.462,0.060534591,0.689,0.382,0.539,0.088,0.376,0.144
151,Rwanda,0.408,0.053459119,0.332,0.896,0.4,0.636,0.2,0.444
152,Yemen,0.355,0.046514675,0.442,1.073,0.343,0.244,0.083,0.064
153,United Republic of Tanzania,0.303,0.039701258,0.455,0.991,0.381,0.481,0.27,0.097
154,South Sudan,0.254,0.033280922,0.337,0.608,0.177,0.112,0.224,0.106
155,Central African Republic,0.083,0.010875262,0.024,0,0.01,0.305,0.218,0.038
156,Burundi,0.905,0.118579665,0.091,0.627,0.145,0.065,0.149,0.076
